M1\M2;TC = 0.03 s;SEN Auto;3;4;5;6
0.0;-5.0;-3.0;-1.0;1.0;3.0;5.0
-0.2;9.357000000000001e-05;7.096999999999999e-05;5.774e-05;4.193e-05;2.8550000000000003e-05;3.0609000000000005e-05
-0.1;8.211000000000001e-05;7.806000000000001e-05;6.790000000000001e-05;4.758e-05;3.824e-05;3.0279e-05
0.0;6.902e-05;6.659000000000001e-05;4.733e-05;4.4880000000000004e-05;3.813e-05;3.9738e-05
0.10000000000000003;5.718e-05;4.978e-05;3.8320000000000006e-05;4.0600000000000004e-05;3.206e-05;2.2437000000000002e-05
0.2;5.3649999999999996e-05;4.165e-05;4.8950000000000004e-05;4.2760000000000004e-05;3.9840000000000005e-05;3.0042e-05
0.3;4.9470000000000006e-05;4.0740000000000006e-05;2.577e-05;3.1780000000000004e-05;2.8910000000000003e-05;3.387e-05
0.4000000000000001;3.9880000000000004e-05;2.874e-05;2.5670000000000003e-05;3.0102e-05;2.6799000000000002e-05;3.1389e-05
0.5;2.9660000000000004e-05;2.526e-05;1.3416e-05;1.3310000000000003e-05;1.0644e-05;1.1523000000000001e-05
0.6000000000000001;2.8300000000000003e-05;1.2960000000000001e-05;1.1844e-05;9.595e-06;7.493000000000001e-06;1.0424e-05
0.7;2.0316e-05;2.2800000000000002e-05;9.018e-06;4.921e-06;9.589000000000001e-06;3.9927e-06
0.8;8.520000000000001e-06;1.4742000000000002e-05;3.8060000000000005e-06;7.039000000000001e-06;6.381e-06;2.4404999999999998e-06
