M1\M2;TC = 0.03 s;SEN = 3 V;3;4;5;6;7
0.0;-10.0;-9.5;-9.0;-8.5;-8.0;-7.5;-7.0
0.0;0.0156;0.0162;0.0171;0.0168;0.0168;0.0171;0.0177
0.01;0.0156;0.0159;0.0171;0.0171;0.0168;0.0171;0.0174
0.02;0.0153;0.0162;0.0171;0.0171;0.0168;0.0174;0.0177
0.03;0.0156;0.0162;0.0174;0.0171;0.0165;0.0171;0.018
0.04;0.015;0.0165;0.0171;0.0165;0.0168;0.0174;0.0177
0.05;0.0153;0.0165;0.0171;0.0168;0.0165;0.0174;0.0177
0.06;0.0156;0.0162;0.0171;0.0165;0.0171;0.0174;0.0174
0.07;0.0153;0.0162;0.0171;0.0168;0.0168;0.0171;0.018
0.08;0.0153;0.0162;0.0174;0.0168;0.0171;0.0177;0.0177
0.09;0.0156;0.0162;0.0168;0.0165;0.0168;0.0174;0.0177
0.1;0.0153;0.0165;0.0171;0.0165;0.0165;0.0177;0.0177
0.11;0.0153;0.0165;0.0165;0.0171;0.0168;0.0174;0.018
0.12;0.0153;0.0165;0.0168;0.0168;0.0168;0.0171;0.0177
0.13;0.0156;0.0165;0.0174;0.0165;0.0168;0.0171;0.018
0.14;0.0156;0.0165;0.0171;0.0165;0.0168;0.0168;0.018
0.15;0.0153;0.0162;0.0171;0.0165;0.0171;0.0174;0.018
0.16;0.0159;0.0165;0.0168;0.0168;0.0168;0.0171;0.018
0.17;0.0156;0.0162;0.0171;0.0168;0.0171;0.0174;0.0177
0.18;0.0153;0.0162;0.0174;0.0165;0.0171;0.0168;0.0177
0.19;0.0159;0.0162;0.0171;0.0171;0.0171;0.0174;0.018
0.2;0.0156;0.0162;0.0171;0.0165;0.0171;0.0177;0.0183
0.21;0.0153;0.0165;0.0171;0.0165;0.0168;0.0177;0.0174
0.22;0.0156;0.0162;0.0171;0.0165;0.0171;0.0171;0.0183
0.23;0.0153;0.0162;0.0171;0.0165;0.0171;0.0171;0.018
0.24;0.0159;0.0162;0.0171;0.0165;0.0168;0.0174;0.018
0.25;0.0153;0.0165;0.0171;0.0162;0.0171;0.0174;0.018
0.26;0.0153;0.0165;0.0165;0.0165;0.0168;0.0171;0.018
0.27;0.0156;0.0165;0.0171;0.0165;0.0168;0.0171;0.018
0.28;0.015;0.0162;0.0171;0.0165;0.0168;0.0171;0.018
0.29;0.0153;0.0162;0.0174;0.0168;0.0171;0.0174;0.0174
0.3;0.0156;0.0162;0.0168;0.0165;0.0168;0.0177;0.018
0.31;0.0153;0.0165;0.0168;0.0165;0.0168;0.0171;0.0177
0.32;0.015;0.0159;0.0177;0.0162;0.0168;0.0177;0.0177
0.33;0.015;0.0159;0.0171;0.0165;0.0171;0.0177;0.0177
0.34;0.015;0.0156;0.0171;0.0162;0.0168;0.0174;0.018
0.35000000000000003;0.0147;0.0159;0.0165;0.0168;0.0162;0.0177;0.0177
0.36;0.015;0.0153;0.0165;0.0165;0.0165;0.0171;0.0177
0.37;0.0147;0.0153;0.0168;0.0165;0.0168;0.0174;0.018
0.38;0.0147;0.0153;0.0168;0.0162;0.0168;0.0174;0.0177
0.39;0.0147;0.0153;0.0165;0.0162;0.0165;0.0174;0.0177
0.4;0.0141;0.0147;0.0165;0.0156;0.0165;0.0171;0.018
0.41000000000000003;0.0138;0.0147;0.0156;0.0153;0.0159;0.0171;0.0177
0.42;0.0135;0.0141;0.0153;0.015;0.0156;0.0171;0.0177
0.43;0.0132;0.0141;0.0153;0.015;0.0162;0.0168;0.0177
0.44;0.0132;0.0147;0.015;0.0147;0.0156;0.0168;0.0174
0.45;0.0135;0.0138;0.015;0.015;0.0159;0.0171;0.0177
0.46;0.0135;0.0135;0.015;0.015;0.0159;0.0171;0.0177
0.47000000000000003;0.0135;0.0144;0.015;0.0147;0.0159;0.0165;0.0177
0.48;0.0129;0.0141;0.0147;0.0141;0.015;0.0156;0.0174
0.49;0.0132;0.0135;0.0147;0.0129;0.0141;0.015;0.0162
0.5;0.0126;0.0135;0.0141;0.0126;0.012;0.0129;0.0141
