"FTM Limite diffraction_x","FTM Limite diffraction_y","0.0_x","0.0_y","0.5_x","0.5_y","1.0_x","1.0_y","1.5_x","1.5_y"
0,1,0,1,0,1,0,1,0,1,
0.02704463995,0.9980678866,0.09765625,0.9987551647,0.09765625,0.9991764573,0.09765625,0.9990035915,0.09765625,0.998969664,
0.0540892799,0.996135778,0.1953125,0.9949685888,0.1953125,0.996642512,0.1953125,0.9959562286,0.1953125,0.9958194926,
0.08113391984,0.9942036789,0.29296875,0.9887323786,0.29296875,0.9924568501,0.29296875,0.9909319888,0.29296875,0.9906205272,
0.1081785598,0.9922715942,0.390625,0.9801967668,0.390625,0.9867153366,0.390625,0.9840517924,0.390625,0.9834887448,
0.1352231997,0.9903395285,0.48828125,0.9695649984,0.48828125,0.9795479447,0.48828125,0.9754794208,0.48828125,0.9745812425,
0.1622678397,0.9884074868,0.5859375,0.9570864233,0.5859375,0.9711145846,0.5859375,0.9654161292,0.5859375,0.9640910809,
0.1893124796,0.9864754737,0.68359375,0.9430480423,0.68359375,0.961599961,0.68359375,0.9540940362,0.68359375,0.9522409665,
0.2163571196,0.984543494,0.78125,0.9277648019,0.78125,0.9512076172,0.78125,0.9417685139,0.78125,0.9392759935,
0.2434017595,0.9826115525,0.87890625,0.9115689787,0.87890625,0.9401533535,0.87890625,0.9287098355,0.87890625,0.9254556971,
0.2704463995,0.980679654,0.9765625,0.8947990234,0.9765625,0.9286582318,0.9765625,0.9151943655,0.9765625,0.9110456955,
0.2974910394,0.9787478033,1.07421875,0.8777882537,1.07421875,0.916941401,1.07421875,0.9014955958,1.07421875,0.8963092131,
0.3245356794,0.9768160051,1.171875,0.8608538029,1.171875,0.9052129929,1.171875,0.8878753426,1.171875,0.8814987843,
0.3515803193,0.9748842642,1.26953125,0.8442862268,1.26953125,0.8936673547,1.26953125,0.8745754263,1.26953125,0.8668484386,
0.3786249593,0.9729525854,1.3671875,0.8283401742,1.3671875,0.8824768863,1.3671875,0.8618101499,1.3671875,0.8525666541,
0.4056695992,0.9710209735,1.46484375,0.8132265027,1.46484375,0.8717867462,1.46484375,0.8497598768,1.46484375,0.8388303508,
0.4327142392,0.9690894333,1.5625,0.7991061903,1.5625,0.8617106677,1.5625,0.8385659798,1.5625,0.8257801606,
0.4597588791,0.9671579694,1.66015625,0.7860863372,1.66015625,0.8523280927,1.66015625,0.8283273852,1.66015625,0.8135171675,
0.4868035191,0.9652265868,1.7578125,0.7742184658,1.7578125,0.8436827691,1.7578125,0.8190988698,1.7578125,0.8021012526,
0.513848159,0.9632952902,1.85546875,0.7634992201,1.85546875,0.8357828862,1.85546875,0.8108911875,1.85546875,0.79155111,
0.540892799,0.9613640844,1.953125,0.7538734315,1.953125,0.8286027365,1.953125,0.8036730041,1.953125,0.7818459167,
0.5679374389,0.9594329741,2.05078125,0.7452393796,2.05078125,0.8220858022,2.05078125,0.7973745212,2.05078125,0.7729285577,
0.5949820789,0.9575019641,2.1484375,0.737455945,2.1484375,0.8161490782,2.1484375,0.7918925767,2.1484375,0.7647102293,
0.6220267188,0.9555710593,2.24609375,0.73035124,2.24609375,0.8106883791,2.24609375,0.7870969314,2.24609375,0.7570761706,
0.6490713587,0.9536402644,2.34375,0.7237322343,2.34375,0.8055843254,2.34375,0.7828373993,2.34375,0.7498922272,
0.6761159987,0.9517095842,2.44140625,0.7173948622,2.44140625,0.8007086861,2.44140625,0.7789514516,2.44140625,0.7430119179,
0.7031606386,0.9497790235,2.5390625,0.711134103,2.5390625,0.795930754,2.5390625,0.7752719251,2.5390625,0.736283668,
0.7302052786,0.947848587,2.63671875,0.7047535715,2.63671875,0.7911234532,2.63671875,0.7716344882,2.63671875,0.7295578829,
0.7572499185,0.9459182796,2.734375,0.6980742102,2.734375,0.7861689175,2.734375,0.7678845524,2.734375,0.7226935666,
0.7842945585,0.9439881061,2.83203125,0.6909417507,2.83203125,0.7809633212,2.83203125,0.7638833682,2.83203125,0.7155642228,
0.8113391984,0.9420580712,2.9296875,0.6832326871,2.9296875,0.7754207958,2.9296875,0.7595130955,2.9296875,0.7080628282,
0.8383838384,0.9401281798,3.02734375,0.6748585804,3.02734375,0.7694763194,3.02734375,0.7546806919,3.02734375,0.7001057144,
0.8654284783,0.9381984365,3.125,0.6657685877,3.125,0.7630875091,3.125,0.7493205216,3.125,0.6916352469,
