M1\M2;TC = 0.03 s;SEN = 3 V;3
0.0;1.5;2.0;2.5
-0.6;0.054;0.0543;0.054
-0.59;0.054;0.0543;0.054
-0.58;0.0543;0.0543;0.054
-0.57;0.054;0.0537;0.054
-0.5599999999999999;0.0543;0.0543;0.054
-0.5499999999999999;0.0543;0.054;0.0543
-0.54;0.0546;0.054;0.054
-0.53;0.0546;0.0537;0.054
-0.52;0.0543;0.0543;0.054
-0.51;0.0546;0.0543;0.054
-0.5;0.0546;0.0546;0.054
-0.49;0.0549;0.0543;0.054
-0.48;0.0546;0.0543;0.0537
-0.47;0.0546;0.0546;0.0543
-0.45999999999999996;0.0543;0.054;0.0543
-0.44999999999999996;0.0543;0.054;0.054
-0.43999999999999995;0.0543;0.054;0.054
-0.42999999999999994;0.0543;0.0543;0.054
-0.42;0.0543;0.054;0.0543
-0.41;0.0546;0.0543;0.054
-0.39999999999999997;0.0543;0.0543;0.054
-0.39;0.0543;0.0543;0.054
-0.38;0.0546;0.0543;0.0543
-0.37;0.0546;0.0546;0.054
-0.36;0.0543;0.0546;0.054
-0.35;0.0546;0.0543;0.054
-0.33999999999999997;0.0546;0.0543;0.0543
-0.32999999999999996;0.0546;0.0543;0.0543
-0.31999999999999995;0.0543;0.0546;0.0543
-0.31;0.0546;0.0543;0.0546
-0.3;0.0549;0.0549;0.0543
-0.29;0.0543;0.0546;0.0543
-0.27999999999999997;0.0546;0.0543;0.0543
-0.26999999999999996;0.0546;0.0546;0.054
-0.25999999999999995;0.0546;0.0543;0.054
-0.24999999999999994;0.0546;0.0543;0.0546
-0.24;0.0546;0.0546;0.054
-0.22999999999999998;0.0546;0.0546;0.0549
-0.21999999999999997;0.0546;0.0549;0.054
-0.20999999999999996;0.0549;0.0543;0.054
-0.19999999999999996;0.0549;0.0546;0.0546
-0.18999999999999995;0.0546;0.0543;0.0546
-0.18;0.0552;0.0549;0.0543
-0.16999999999999998;0.0549;0.0546;0.0543
-0.15999999999999998;0.0549;0.0546;0.0543
-0.14999999999999997;0.0552;0.0546;0.0543
-0.13999999999999996;0.0546;0.0543;0.0543
-0.12999999999999995;0.0552;0.054;0.0537
-0.12;0.0552;0.0546;0.054
-0.10999999999999999;0.0552;0.0543;0.0543
-0.09999999999999998;0.0552;0.0546;0.0543
-0.08999999999999997;0.0552;0.0546;0.0543
-0.07999999999999996;0.0549;0.0549;0.054
-0.06999999999999995;0.0552;0.0546;0.054
-0.05999999999999994;0.0546;0.0549;0.0537
-0.04999999999999993;0.0543;0.054;0.0534
-0.039999999999999925;0.054;0.054;0.0525
-0.029999999999999916;0.0531;0.0531;0.0513
-0.020000000000000018;0.051;0.0522;0.0504
-0.010000000000000009;0.0474;0.0501;0.048
0.0;0.0429;0.0459;0.0453
0.010000000000000009;0.0369;0.0411;0.0411
0.020000000000000018;0.0291;0.0336;0.036
0.030000000000000027;0.0213;0.0258;0.0294
0.040000000000000036;0.0162;0.018;0.0225
0.050000000000000044;0.0111;0.0132;0.0171
0.06000000000000005;0.0081;0.009;0.0123
0.07000000000000006;0.0057;0.0066;0.0087
0.08000000000000007;0.0054;0.0051;0.0069
0.09000000000000008;0.0048;0.0045;0.0057
0.10000000000000009;0.0039;0.0042;0.0051
0.10999999999999999;0.0036;0.0036;0.0045
0.12;0.0036;0.0033;0.0036
0.13;0.003;0.0027;0.0033
0.14;0.0027;0.0027;0.0027
0.15000000000000002;0.0027;0.0024;0.0027
0.16000000000000003;0.0021;0.0024;0.0027
0.17000000000000004;0.0018;0.0021;0.0021
0.18000000000000005;0.0021;0.0018;0.0018
0.19000000000000006;0.0021;0.0015;0.0018
0.20000000000000007;0.0015;0.0018;0.0021
0.21000000000000008;0.0021;0.0018;0.0015
0.22000000000000008;0.0018;0.0015;0.0015
0.2300000000000001;0.0018;0.0012;0.0015
0.24;0.0012;0.0012;0.0015
0.25;0.0012;0.0015;0.0012
0.26;0.0012;0.0012;0.0012
0.27;0.0015;0.0012;0.0012
0.28;0.0012;0.0012;0.0012
0.29000000000000004;0.0009;0.0009;0.0009
0.30000000000000004;0.0012;0.0009;0.0009
0.31000000000000005;0.0012;0.0009;0.0009
0.32000000000000006;0.0006;0.0009;0.0012
0.33000000000000007;0.0009;0.0009;0.0012
0.3400000000000001;0.0009;0.0009;0.0006
0.3500000000000001;0.0009;0.0006;0.0009
0.36;0.0009;0.0009;0.0006
0.37;0.0009;0.0006;0.0009
0.38;0.0006;0.0006;0.0009
0.39;0.0006;0.0009;0.0012
0.4;0.0006;0.0006;0.0006
0.41000000000000003;0.0009;0.0009;0.0006
0.42000000000000004;0.0006;0.0006;0.0009
0.43000000000000005;0.0009;0.0006;0.0009
0.44000000000000006;0.0006;0.0006;0.0006
0.45000000000000007;0.0006;0.0006;0.0009
0.4600000000000001;0.0009;0.0006;0.0009
0.4700000000000001;0.0009;0.0006;0.0009
0.4800000000000001;0.0006;0.0006;0.0009
0.4900000000000001;0.0006;0.0006;0.0009
0.5;0.0006;0.0006;0.0006
