"FTM Limite diffraction_x","FTM Limite diffraction_y","1.5_x","1.5_y","2.0_x","2.0_y","2.5_x","2.5_y"
0,1,0,1,0,1,0,1,
0.02704463995,0.9980678866,0.09765625,0.9985354276,0.09765625,0.9979863071,0.09765625,0.9979132318,
0.0540892799,0.996135778,0.1953125,0.9941003441,0.1953125,0.9919235224,0.1953125,0.9916267813,
0.08113391984,0.9942036789,0.29296875,0.9868185073,0.29296875,0.9819937603,0.29296875,0.9813098123,
0.1081785598,0.9922715942,0.390625,0.9768912449,0.390625,0.9684931787,0.390625,0.9672380626,
0.1352231997,0.9903395285,0.48828125,0.9645898797,0.48828125,0.9518207005,0.48828125,0.9497842296,
0.1622678397,0.9884074868,0.5859375,0.9502455443,0.5859375,0.9324628059,0.5859375,0.9294049648,
0.1893124796,0.9864754737,0.68359375,0.9342367973,0.68359375,0.9109749727,0.68359375,0.9066249278,
0.2163571196,0.984543494,0.78125,0.9169755542,0.78125,0.8879604828,0.78125,0.8820184586,
0.2434017595,0.9826115525,0.87890625,0.8988919248,0.87890625,0.8640474421,0.87890625,0.8561895271,
0.2704463995,0.980679654,0.9765625,0.8804186121,0.9765625,0.8398649704,0.9765625,0.8297507048,
0.2974910394,0.9787478033,1.07421875,0.8619755597,1.07421875,0.8160196111,1.07421875,0.8033019801,
0.3245356794,0.9768160051,1.171875,0.8439555309,1.171875,0.7930730608,1.171875,0.7774102969,
0.3515803193,0.9748842642,1.26953125,0.8267112605,1.26953125,0.771522323,1.26953125,0.752590729,
0.3786249593,0.9729525854,1.3671875,0.8105447231,1.3671875,0.7517833064,1.3671875,0.7292901883,
0.4056695992,0.9710209735,1.46484375,0.7956989306,1.46484375,0.7341786997,1.46484375,0.7078744802,
0.4327142392,0.9690894333,1.5625,0.7823524957,1.5625,0.7189306554,1.5625,0.6886193457,
0.4597588791,0.9671579694,1.66015625,0.7706170152,1.66015625,0.7061584214,1.66015625,0.6717058512,
0.4868035191,0.9652265868,1.7578125,0.7605371514,1.7578125,0.6958806463,1.7578125,0.6572201383,
0.513848159,0.9632952902,1.85546875,0.7520931583,1.85546875,0.6880217284,1.85546875,0.6451571758,
0.540892799,0.9613640844,1.953125,0.7452055156,1.953125,0.6824213703,1.953125,0.6354278522,
0.5679374389,0.9594329741,2.05078125,0.7397413144,2.05078125,0.6788464715,2.05078125,0.6278685769,
0.5949820789,0.9575019641,2.1484375,0.735522059,2.1484375,0.6770046044,2.1484375,0.6222525619,
0.6220267188,0.9555710593,2.24609375,0.7323325853,2.24609375,0.6765585156,2.24609375,0.6183020986,
0.6490713587,0.9536402644,2.34375,0.7299308309,2.34375,0.6771412582,2.34375,0.6157013551,
0.6761159987,0.9517095842,2.44140625,0.7280581939,2.44140625,0.6783716498,2.44140625,0.6141094147,
0.7031606386,0.9497790235,2.5390625,0.726450196,2.5390625,0.6798697377,2.5390625,0.6131733805,
0.7302052786,0.947848587,2.63671875,0.7248471237,2.63671875,0.6812718695,2.63671875,0.612541382,
0.7572499185,0.9459182796,2.734375,0.7230042762,2.734375,0.6822448655,2.734375,0.6118752434,
0.7842945585,0.9439881061,2.83203125,0.7207014157,2.83203125,0.6824987115,2.83203125,0.6108624773,
0.8113391984,0.9420580712,2.9296875,0.7177510156,2.9296875,0.681797173,2.9296875,0.609227175,
0.8383838384,0.9401281798,3.02734375,0.7140049275,3.02734375,0.6799657796,3.02734375,0.6067393261,
0.8654284783,0.9381984365,3.125,0.7093591525,3.125,0.676896738,3.125,0.6032221185,
0.8924731183,0.9362688463,3.22265625,0.7037564869,3.22265625,0.6725504905,3.22265625,0.5985568395,
0.9195177582,0.9343394139,3.3203125,0.697186923,3.3203125,0.6669538249,3.3203125,0.5926851144,
0.9465623982,0.9324101441,3.41796875,0.6896858042,3.41796875,0.660194644,3.41796875,0.5856083595,
0.9736070381,0.9304810418,3.515625,0.6813298534,3.515625,0.6524137147,3.515625,0.5773844788,
1.000651678,0.9285521116,3.61328125,0.6722313172,3.61328125,0.6437939097,3.61328125,0.5681219911,
1.027696318,0.9266233585,3.7109375,0.6625305727,3.7109375,0.6345476346,3.7109375,0.5579719228,
1.054740958,0.9246947872,3.80859375,0.6523876382,3.80859375,0.6249032693,3.80859375,0.5471179383,
1.081785598,0.9227664025,3.90625,0.6419730971,3.90625,0.6150915344,3.90625,0.5357652962,
1.108830238,0.9208382092,4.00390625,0.6314589764,4.00390625,0.6053327012,4.00390625,0.524129303,
1.135874878,0.9189102122,4.1015625,0.6210101249,4.1015625,0.5958254769,4.1015625,0.5124239819,
1.162919518,0.9169824162,4.19921875,0.6107765806,4.19921875,0.5867382185,4.19921875,0.5008516588,
1.189964158,0.9150548261,4.296875,0.6008873354,4.296875,0.5782028659,4.296875,0.4895940912,
1.217008798,0.9131274466,4.39453125,0.5914457675,4.39453125,0.5703116816,4.39453125,0.4788056125,
1.244053438,0.9112002826,4.4921875,0.5825268667,4.4921875,0.5631165853,4.4921875,0.4686085551,
1.271098078,0.9092733389,4.58984375,0.5741762184,4.58984375,0.5566306455,4.58984375,0.4590909685,
1.298142717,0.9073466204,4.6875,0.566410578,4.6875,0.5508311698,4.6875,0.4503064062,
1.325187357,0.9054201317,4.78515625,0.5592197723,4.78515625,0.5456638478,4.78515625,0.4422753732,
1.352231997,0.9034938778,4.8828125,0.5525696185,4.8828125,0.5410475133,4.8828125,0.4349879252,
1.379276637,0.9015678635,4.98046875,0.5464055578,4.98046875,0.5368792636,4.98046875,0.4284069305,
1.406321277,0.8996420936,5.078125,0.540656742,5.078125,0.5330398435,5.078125,0.4224716154,
1.433365917,0.8977165729,5.17578125,0.535240375,5.17578125,0.529399305,5.17578125,0.4171011824,
