M1\M2;TC = 0.03 s;SEN Auto;3;4;5;6
0.0;-2.5;-2.0;-1.5;-1.0;-0.5;0.0
0.0;0.04763;0.043410000000000004;0.04383;0.04379;0.043870000000000006;0.04371
0.01;0.04596;0.04345;0.04375;0.04381;0.043820000000000005;0.04383
0.02;0.04497;0.04345;0.04388;0.04376;0.04365;0.043910000000000005
0.03;0.044430000000000004;0.04345;0.04377;0.04381;0.04376;0.04383
0.04;0.04408;0.04353;0.04397;0.04381;0.04394000000000001;0.04386
0.05;0.04397;0.0435;0.04403;0.04386;0.04373;0.04383
0.06;0.04386;0.04351;0.043890000000000005;0.0439;0.04379;0.04386
0.07;0.04379;0.04356;0.044070000000000005;0.043890000000000005;0.04386;0.04386
0.08;0.04373;0.04358;0.04381;0.043910000000000005;0.043890000000000005;0.04386
0.09;0.04373;0.04361;0.043930000000000004;0.043910000000000005;0.043890000000000005;0.043820000000000005
0.1;0.04371;0.043640000000000005;0.04395;0.043890000000000005;0.04392000000000001;0.043820000000000005
0.11;0.0438;0.043640000000000005;0.04398;0.043910000000000005;0.043890000000000005;0.04383
0.12;0.0437;0.04361;0.044;0.043870000000000006;0.04388;0.04379
0.13;0.04372;0.04365;0.044020000000000004;0.0439;0.0439;0.04376
0.14;0.04377;0.0437;0.04399;0.043890000000000005;0.04385;0.04373
0.15;0.043840000000000004;0.04374;0.04399;0.043910000000000005;0.04385;0.04373
0.16;0.043910000000000005;0.04379;0.04397;0.043890000000000005;0.04386;0.04371
0.17;0.04396;0.043820000000000005;0.04399;0.0439;0.043820000000000005;0.0437
0.18;0.04399;0.04388;0.04398;0.0439;0.04388;0.043660000000000004
0.19;0.044120000000000006;0.04395;0.04404;0.043910000000000005;0.04386;0.043680000000000004
0.2;0.04408;0.04401;0.04403;0.04394000000000001;0.043870000000000006;0.043590000000000004
0.21;0.04413;0.04408;0.044120000000000006;0.04394000000000001;0.043910000000000005;0.043590000000000004
0.22;0.04411;0.044120000000000006;0.04415;0.044020000000000004;0.043890000000000005;0.0434
0.23;0.04411;0.04413;0.04423;0.04408;0.043840000000000004;0.04308
0.24;0.04399;0.0441;0.04433;0.04411;0.04374;0.04259
0.25;0.043890000000000005;0.04404;0.04433;0.044120000000000006;0.04351;0.04193
0.26;0.04394000000000001;0.04396;0.04437000000000001;0.04406;0.043160000000000004;0.041010000000000005
0.27;0.043640000000000005;0.04399;0.044390000000000006;0.043930000000000004;0.04261;0.03984
0.28;0.04356;0.044020000000000004;0.044410000000000005;0.04367000000000001;0.04179;0.03837
0.29;0.0434;0.04397;0.04438;0.0433;0.04073;0.03692
0.3;0.042910000000000004;0.043660000000000004;0.04411;0.04259;0.039310000000000005;0.03528
0.31;0.0418;0.04293;0.04347;0.041490000000000006;0.03744;0.03255
0.32;0.04;0.041620000000000004;0.04227;0.03973;0.035160000000000004;0.02978
0.33;0.037610000000000005;0.03959;0.040040000000000006;0.037090000000000005;0.03225;0.02611
0.34;0.034620000000000005;0.036430000000000004;0.03647;0.03313;0.02851;0.024228
0.35000000000000003;0.03113;0.03205;0.03123;0.027860000000000003;0.023889;0.021459
0.36;0.027190000000000002;0.026619999999999998;0.024441;0.02163;0.019305000000000003;0.018339
0.37;0.02289;0.021006;0.018078;0.015702;0.015165000000000001;0.01596
0.38;0.018276;0.014577000000000001;0.011925;0.010728;0.011544;0.013209
0.39;0.014313;0.010251;0.007332000000000001;0.0071519999999999995;0.009066;0.011373000000000001
0.4;0.010976999999999999;0.006790000000000001;0.004631000000000001;0.005093;0.0073219999999999995;0.009612
0.41000000000000003;0.008490000000000001;0.004705000000000001;0.003197;0.00392;0.005894;0.00807
0.42;0.006690000000000001;0.0035600000000000002;0.002516;0.003197;0.00476;0.0067090000000000006
0.43;0.0052899999999999996;0.0028510000000000002;0.0023979;0.002639;0.003825;0.005304
0.44;0.004214;0.0022899;0.0019868999999999998;0.0021867;0.003095;0.004518
0.45;0.00335;0.0019023;0.0015369;0.001773;0.0024981;0.003774
0.46;0.002705;0.0015864000000000002;0.0014553;0.0014787000000000001;0.0020559000000000003;0.003007
0.47000000000000003;0.0022125;0.0013863;0.0011859;0.0012414;0.0017247;0.0025815
0.48;0.0018657;0.0011949;0.0008426999999999999;0.0011295;0.0014991;0.0021168
0.49;0.0016173000000000001;0.0010548;0.0010527000000000002;0.0009954;0.0012996000000000001;0.0019782
0.5;0.0013617000000000002;0.0009356999999999999;0.0008734999999999999;0.0009057000000000001;0.0011106;0.0015213000000000002
0.51;0.0011970000000000001;0.00084;0.0006454;0.0008217000000000001;0.0009975;0.0013755
0.52;0.00105;0.0007593;0.0006996000000000001;0.0007109;0.0008763;0.0011856
0.53;0.0008985;0.0006799999999999999;0.0006119;0.0006549;0.0007923;0.0011265000000000001
0.54;0.0007929;0.0006190000000000001;0.0004364;0.0006141;0.0007655;0.0009639
0.55;0.0006576;0.0005642;0.0006177;0.0006029;0.0007177;0.0009003
0.56;0.0006286999999999999;0.0005378000000000001;0.000577;0.0006418;0.000648;0.0008208
0.5700000000000001;0.0003989;0.0004747;0.0004956;0.0005176;0.0006247;0.0007914
0.58;0.0005329;0.0004649;0.000488;0.0005147999999999999;0.0005999000000000001;0.0007626
0.59;0.00044160000000000005;0.00040750000000000004;0.00045220000000000004;0.0004868;0.0005847000000000001;0.0006833
