M1\M2;TC = 0.03 s;SEN Auto;3;4;5
0.0;-1.0;-0.5;0.0;0.5;1.0
0.0;0.03698;0.03347000000000001;0.03359;0.03363;0.03311
0.01;0.035120000000000005;0.03341;0.0334;0.033510000000000005;0.03315
0.02;0.033960000000000004;0.03345;0.03359;0.03296;0.033530000000000004
0.03;0.033670000000000005;0.03309;0.034;0.03465;0.033940000000000005
0.04;0.03357;0.03261;0.03338;0.03409;0.03356
0.05;0.0318;0.03286;0.03341;0.0332;0.033530000000000004
0.06;0.03368;0.03325;0.03295;0.03361;0.03375
0.07;0.03425;0.033710000000000004;0.03365;0.0338;0.03355
0.08;0.03332;0.033260000000000005;0.03338;0.03352;0.03314
0.09;0.033440000000000004;0.03327000000000001;0.03329;0.03361;0.03318
0.1;0.03345;0.033490000000000006;0.033740000000000006;0.034190000000000005;0.03265
0.11;0.03427;0.0333;0.03386;0.03359;0.033010000000000005
0.12;0.03356;0.03481;0.03415;0.03393;0.03296
0.13;0.03418;0.03497;0.035120000000000005;0.03329;0.03238
0.14;0.03411;0.03488;0.03513;0.0331;0.03015
0.15;0.0328;0.03431;0.034460000000000005;0.03241;0.02855
0.16;0.03139;0.03333;0.03402;0.0312;0.02555
0.17;0.02925;0.0322;0.03245;0.02852;0.022353
0.18;0.02673;0.0297;0.02965;0.02513;0.019899
0.19;0.02418;0.025580000000000002;0.025005;0.019731;0.016914000000000002
0.2;0.020475;0.020742;0.019818000000000002;0.015564000000000001;0.013362
0.21;0.016269;0.015621000000000001;0.013293000000000001;0.012477;0.011886
0.22;0.012027;0.009198;0.008346000000000001;0.008211;0.009411
0.23;0.009546;0.006516;0.005497;0.006711;0.007826999999999999
0.24;0.007448000000000001;0.004166;0.0035230000000000005;0.004965;0.006878
0.25;0.005586;0.003042;0.00277;0.004116000000000001;0.005539
0.26;0.004225;0.0023919;0.00231;0.002722;0.004457
0.27;0.003404;0.0020505;0.0019995;0.003421;0.0037119999999999996
0.28;0.002832;0.0017640000000000002;0.0016245;0.0027927;0.003198
0.29;0.0021864000000000002;0.0014778;0.0013713;0.0009333;0.002548
0.3;0.0018267;0.0012573;0.0011931;0.0019307999999999999;0.0024093
0.31;0.0015777;0.0011316;0.0010698;0.0017952000000000003;0.0016748999999999998
0.32;0.0014268;0.0010389;0.0009876;0.001032;0.0015549
0.33;0.0012402000000000001;0.0009699;0.0008868;0.0013281;0.0014589
0.34;0.0011370000000000002;0.0008376;0.0008463000000000001;0.0003289;0.0010464
0.35000000000000003;0.0010065;0.0007968;0.0007644;0.0008478;0.0009369
0.36;0.0008928000000000001;0.0007509;0.0007001;0.0007195999999999999;0.0011964
