M1\M2;TC = 0.03 s;SEN Auto;3;4;5
0.0;2.0;2.5;3.0;3.5;4.0
0.0;0.03468;0.03035;0.030119999999999997;0.030040000000000004;0.02998
0.02;0.03259;0.03036;0.02997;0.030019999999999998;0.030090000000000002
0.04;0.031560000000000005;0.03013;0.030160000000000003;0.0301;0.030190000000000005
0.06;0.03106;0.0303;0.03007;0.029930000000000002;0.03005
0.08;0.030590000000000003;0.03025;0.03013;0.0301;0.03022
0.1;0.03058;0.03023;0.03013;0.030190000000000005;0.0302
0.12;0.0304;0.03028;0.03017;0.03011;0.0303
0.14;0.03035;0.03035;0.03017;0.030260000000000002;0.030290000000000004
0.16;0.03035;0.030430000000000002;0.030240000000000003;0.030160000000000003;0.030290000000000004
0.18;0.030410000000000003;0.03038;0.03038;0.03013;0.03027
0.2;0.03073;0.03038;0.0302;0.0302;0.03022
0.22;0.03088;0.0305;0.0301;0.030180000000000002;0.0302
0.24;0.03095;0.030660000000000003;0.030180000000000002;0.030290000000000004;0.03015
0.26;0.031220000000000005;0.03096;0.03042;0.03025;0.03015
0.28;0.030490000000000003;0.03148;0.03081;0.0302;0.03017
0.3;0.028590000000000004;0.031010000000000003;0.03115;0.030440000000000002;0.02998
0.32;0.02514;0.028919999999999998;0.03096;0.03042;0.02967
0.34;0.020835;0.025790000000000004;0.028669999999999998;0.029710000000000004;0.0288
0.36;0.014459999999999999;0.018312000000000002;0.021855;0.0257;0.0273
0.38;0.010278;0.011016;0.012924000000000001;0.019995000000000002;0.022374
0.4;0.0071010000000000005;0.006285;0.005785;0.008085;0.014496
0.42;0.004546;0.003781;0.002704;0.002804;0.006755
0.44;0.003064;0.0023733;0.0015717;0.0014319;0.002833
0.46;0.0019088999999999998;0.0015006;0.0011496;0.0010449;0.0017874
0.48;0.0013767;0.001092;0.0008553000000000001;0.0007779;0.0011901
0.5;0.0010293000000000001;0.0007713;0.0006218;0.0005806;0.0007962
0.52;0.0007859;0.0005563;0.0005158000000000001;0.000536;0.0005966
0.54;0.0005957;0.0005138;0.00041530000000000007;0.00044590000000000005;0.0005178
0.56;0.00044500000000000003;0.00041420000000000004;0.0003656;0.0004216;0.00045789999999999996
0.58;0.00040940000000000003;0.0004014;0.0003289;0.0003371;0.000434
0.6;0.00036899999999999997;0.0003211;0.0002916;0.0003264;0.0004186
0.62;0.00029319999999999997;0.00028450000000000003;0.00025734;0.0002613;0.0003715
0.64;0.0003093;0.00022773000000000004;0.00022311;0.0002563;0.0002942
0.66;0.00024027000000000003;0.00028215000000000005;0.00021941999999999998;0.0001881;0.0002724
0.68;0.00025359000000000004;0.00023382;0.00021732;0.00023046;0.00025580000000000004
0.7000000000000001;0.00025368;0.00024234;0.00020688;0.00024495;0.00019908000000000003
0.72;0.00024453;0.00019815;0.00019995;0.00020895;0.00021024000000000002
0.74;0.00021680999999999998;0.00022947;0.00020478;0.00022317;0.00021339000000000002
0.76;0.00021672000000000003;0.00019905000000000001;0.00018975000000000003;0.00015114000000000002;0.00021372
0.78;0.00020538000000000002;0.00017076;0.00016362;0.000123;0.00021878999999999998
0.8;0.00018978000000000002;0.0001941;0.00016032;0.00018483;0.00016599000000000003
