M1\M2;TC = 0.03 s;SEN = 3 V;3;4;5;6;7
0.0;-4.0;-3.5;-3.0;-2.5;-2.0;-1.5;-1.0
-0.2;0.0486;0.0492;0.0486;0.0489;0.0486;0.0489;0.0486
-0.19;0.0489;0.0492;0.0489;0.0489;0.0489;0.0483;0.0486
-0.18000000000000002;0.0483;0.0486;0.0486;0.0489;0.0489;0.0489;0.0483
-0.17;0.0486;0.0486;0.0489;0.0489;0.0486;0.0486;0.0483
-0.16;0.0483;0.0486;0.0489;0.0489;0.0489;0.0483;0.048
-0.15000000000000002;0.0486;0.0486;0.0489;0.0486;0.0483;0.0483;0.0489
-0.14;0.048;0.0486;0.0483;0.0489;0.0483;0.0486;0.0483
-0.13;0.048;0.048;0.0486;0.0486;0.0486;0.0486;0.048
-0.12000000000000001;0.048;0.0486;0.0486;0.0489;0.0486;0.0483;0.0483
-0.11000000000000001;0.0477;0.0486;0.0486;0.0483;0.0489;0.048;0.048
-0.1;0.0474;0.048;0.0486;0.0492;0.0489;0.0483;0.048
-0.09000000000000001;0.0462;0.048;0.0483;0.0489;0.0489;0.0483;0.048
-0.08000000000000002;0.0456;0.0471;0.048;0.0486;0.0486;0.0486;0.0477
-0.07;0.0441;0.0465;0.048;0.0483;0.0489;0.048;0.0477
-0.06;0.0432;0.0456;0.0471;0.0483;0.0489;0.0483;0.0471
-0.05000000000000002;0.0417;0.0444;0.0465;0.0477;0.0483;0.048;0.0468
-0.04000000000000001;0.0393;0.0423;0.0444;0.0468;0.048;0.0477;0.0465
-0.03;0.0372;0.0399;0.0423;0.0453;0.0471;0.0471;0.0453
-0.020000000000000018;0.0348;0.0372;0.0408;0.0438;0.0459;0.0462;0.0435
-0.010000000000000009;0.0327;0.0348;0.0381;0.0414;0.0441;0.0441;0.0411
0.0;0.0309;0.033;0.0354;0.0387;0.0411;0.0405;0.0363
0.009999999999999981;0.0282;0.03;0.0321;0.0351;0.0363;0.0348;0.0318
0.01999999999999999;0.0267;0.0276;0.0288;0.0297;0.0297;0.0273;0.0246
0.03;0.0255;0.0255;0.0255;0.0246;0.0228;0.0198;0.0186
0.03999999999999998;0.024;0.0234;0.0216;0.0186;0.0156;0.0132;0.0132
0.04999999999999999;0.0222;0.0204;0.0177;0.0138;0.0099;0.0081;0.009
0.06;0.0201;0.0183;0.0147;0.0099;0.0063;0.0051;0.0066
0.07;0.0186;0.0159;0.0117;0.0072;0.0042;0.0036;0.0048
0.08000000000000002;0.0165;0.0132;0.0093;0.0057;0.0033;0.0027;0.0039
0.08999999999999997;0.0153;0.0117;0.0075;0.0045;0.0024;0.0021;0.0033
0.09999999999999998;0.0132;0.0096;0.006;0.0033;0.0018;0.0021;0.0024
0.10999999999999999;0.0117;0.0081;0.0051;0.0027;0.0021;0.0015;0.0018
0.12;0.0102;0.0069;0.0039;0.0018;0.0015;0.0012;0.0021
0.13;0.009;0.0057;0.0033;0.0021;0.0012;0.0012;0.0015
0.14;0.0075;0.0051;0.003;0.0018;0.0012;0.0009;0.0015
0.15000000000000002;0.0063;0.0039;0.0024;0.0015;0.0009;0.0012;0.0015
0.15999999999999998;0.0057;0.0033;0.0024;0.0012;0.0012;0.0009;0.0012
0.16999999999999998;0.0042;0.0024;0.0015;0.0012;0.0009;0.0012;0.0009
0.18;0.0039;0.0027;0.0012;0.0009;0.0009;0.0009;0.0009
0.19;0.0033;0.0018;0.0015;0.0009;0.0006;0.0009;0.0009
0.2;0.003;0.0018;0.0012;0.0009;0.0006;0.0009;0.0012
0.21000000000000002;0.0024;0.0012;0.0009;0.0009;0.0009;0.0009;0.0009
0.21999999999999997;0.0021;0.0015;0.0009;0.0006;0.0012;0.0003;0.0006
0.22999999999999998;0.0018;0.0012;0.0009;0.0009;0.0009;0.0009;0.0009
0.24;0.0015;0.0012;0.0009;0.0009;0.0003;0.0009;0.0006
0.25;0.0012;0.0009;0.0006;0.0006;0.0006;0.0006;0.0003
0.26;0.0012;0.0009;0.0009;0.0006;0.0006;0.0006;0.0009
0.27;0.0009;0.0006;0.0006;0.0006;0.0006;0.0003;0.0009
0.27999999999999997;0.0009;0.0009;0.0006;0.0006;0.0006;0.0003;0.0006
0.29;0.0006;0.0009;0.0009;0.0003;0.0006;0.0006;0.0009
0.3;0.0009;0.0003;0.0006;0.0006;0.0006;0.0003;0.0006
