M1\M2;TC = 0.03 s;SEN = 3 V;3;4;5;6;7
0.0;-3.0;-2.5;-2.0;-1.5;-1.0;-0.5;0.0
-0.17;0.0408;0.0453;0.0456;0.045;0.0441;0.0423;0.0402
-0.16022222222222224;0.0396;0.0453;0.0459;0.0453;0.0441;0.0423;0.0402
-0.15044444444444446;0.0381;0.0456;0.0456;0.0453;0.0438;0.042;0.0402
-0.14066666666666666;0.0369;0.0453;0.0459;0.0447;0.0438;0.042;0.0405
-0.1308888888888889;0.0372;0.045;0.0459;0.045;0.0435;0.0423;0.0405
-0.12111111111111111;0.0342;0.0447;0.0462;0.0456;0.0438;0.0423;0.0402
-0.11133333333333334;0.0336;0.0447;0.0459;0.0447;0.0438;0.0423;0.0405
-0.10155555555555555;0.0324;0.0435;0.0456;0.0453;0.0438;0.0423;0.0402
-0.09177777777777778;0.0303;0.0423;0.0456;0.0456;0.0438;0.042;0.0402
-0.082;0.03;0.0414;0.045;0.045;0.0441;0.042;0.0402
-0.07222222222222222;0.0276;0.0393;0.0444;0.045;0.0441;0.042;0.0405
-0.06244444444444444;0.0258;0.0381;0.0432;0.0453;0.0441;0.042;0.0402
-0.05266666666666667;0.0249;0.0357;0.042;0.0447;0.0438;0.042;0.0399
-0.04288888888888889;0.0246;0.033;0.0405;0.0444;0.0438;0.0423;0.0399
-0.03311111111111109;0.0231;0.0315;0.0387;0.0438;0.0438;0.0426;0.0402
-0.023333333333333317;0.0228;0.0291;0.0363;0.0429;0.0438;0.0423;0.0405
-0.013555555555555543;0.0216;0.0273;0.0345;0.0423;0.0432;0.0423;0.0399
-0.003777777777777769;0.0204;0.0261;0.033;0.0411;0.0438;0.0417;0.0399
0.006000000000000005;0.0186;0.0246;0.0306;0.0405;0.0435;0.0417;0.0405
0.015777777777777807;0.0183;0.0228;0.0279;0.0381;0.0429;0.042;0.0402
0.02555555555555558;0.0171;0.0207;0.0255;0.0351;0.042;0.0417;0.0396
0.035333333333333355;0.0153;0.0189;0.0231;0.0336;0.0411;0.0417;0.0402
0.04511111111111113;0.0147;0.0171;0.0198;0.0288;0.0405;0.0411;0.0396
0.054888888888888904;0.0132;0.0147;0.0168;0.0255;0.0384;0.0411;0.0396
0.06466666666666668;0.012;0.0129;0.0141;0.0204;0.0363;0.0408;0.039
0.07444444444444448;0.0111;0.012;0.0126;0.0171;0.0324;0.0399;0.039
0.08422222222222223;0.0102;0.0102;0.0102;0.0138;0.0279;0.039;0.0387
0.09400000000000006;0.0087;0.0084;0.0093;0.0108;0.0222;0.0372;0.0387
0.10377777777777783;0.0072;0.0081;0.0075;0.0087;0.0183;0.0345;0.0378
0.1135555555555556;0.0063;0.0066;0.0063;0.0069;0.0129;0.0294;0.0372
0.12333333333333338;0.0054;0.006;0.0054;0.0057;0.0084;0.0267;0.036
0.13311111111111115;0.0048;0.0048;0.0042;0.0048;0.0063;0.0195;0.0336
0.14288888888888893;0.0045;0.0036;0.0036;0.0039;0.0045;0.0144;0.0312
0.1526666666666667;0.0036;0.0033;0.003;0.0033;0.0039;0.0096;0.027
0.16244444444444447;0.0033;0.0033;0.0027;0.0027;0.003;0.0063;0.0216
0.17222222222222225;0.003;0.0027;0.0024;0.0021;0.0021;0.0039;0.015
0.18200000000000002;0.0024;0.0021;0.0018;0.0018;0.0021;0.003;0.0105
0.1917777777777778;0.0021;0.0021;0.0015;0.0015;0.0015;0.0027;0.0072
0.20155555555555563;0.0021;0.0018;0.0012;0.0018;0.0015;0.0021;0.0045
0.2113333333333334;0.0018;0.0012;0.0015;0.0012;0.0015;0.0018;0.0036
0.22111111111111117;0.0012;0.0015;0.0015;0.0009;0.0009;0.0015;0.0027
0.23088888888888895;0.0012;0.0006;0.0009;0.0009;0.0009;0.0012;0.0027
0.24066666666666672;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0018
0.25044444444444447;0.0009;0.0012;0.0009;0.0009;0.0009;0.0009;0.0018
0.26022222222222224;0.0009;0.0009;0.0006;0.0009;0.0009;0.0009;0.0015
0.27;0.0009;0.0009;0.0009;0.0006;0.0009;0.0009;0.0012
