M1\M2;TC = 0.03 s;SEN = 3 V;3;4;5;6;7;8;9
0.0;-1.0;-0.5;0.0;0.5;1.0;1.5;2.0;2.5;3.0
-0.05;0.0372;0.0375;0.0372;0.0369;0.0369;0.0372;0.0366;0.036;0.0354
-0.038157894736842106;0.0372;0.0375;0.0369;0.0369;0.0369;0.0369;0.036;0.036;0.0351
-0.026315789473684213;0.0378;0.0372;0.0372;0.0369;0.0369;0.0369;0.0366;0.036;0.0351
-0.01447368421052632;0.0375;0.0369;0.0375;0.0369;0.0369;0.0363;0.036;0.0351;0.0345
-0.0026315789473684223;0.0372;0.0375;0.0372;0.0366;0.0372;0.0366;0.036;0.0354;0.0342
0.009210526315789475;0.0369;0.0369;0.0375;0.0375;0.0366;0.0363;0.0357;0.0345;0.0333
0.021052631578947364;0.0372;0.0372;0.0375;0.0366;0.0366;0.036;0.036;0.0345;0.0324
0.03289473684210527;0.0372;0.0375;0.0369;0.0369;0.0369;0.036;0.0354;0.0339;0.0327
0.04473684210526316;0.0372;0.0372;0.0372;0.0375;0.0366;0.0357;0.0345;0.033;0.0318
0.05657894736842105;0.0372;0.0375;0.0375;0.0372;0.036;0.0357;0.0342;0.0324;0.0303
0.06842105263157895;0.0375;0.0372;0.0369;0.0366;0.0363;0.0351;0.0336;0.0315;0.0291
0.08026315789473686;0.0369;0.0375;0.0372;0.0369;0.0357;0.0351;0.0324;0.0303;0.0282
0.09210526315789473;0.0372;0.0372;0.0372;0.0366;0.0357;0.0339;0.0312;0.0297;0.0276
0.10394736842105264;0.0366;0.0369;0.0369;0.0363;0.0351;0.033;0.0306;0.0282;0.0264
0.11578947368421054;0.0369;0.0372;0.0363;0.0354;0.0342;0.0315;0.0291;0.027;0.0255
0.12763157894736843;0.036;0.0363;0.036;0.0354;0.033;0.03;0.0276;0.0252;0.0246
0.1394736842105263;0.0357;0.0363;0.0357;0.0339;0.0315;0.0288;0.0264;0.0249;0.0237
0.15131578947368424;0.0354;0.0354;0.0351;0.0324;0.03;0.027;0.0249;0.0234;0.0225
0.1631578947368421;0.0345;0.0348;0.0339;0.0312;0.0279;0.0249;0.0231;0.0219;0.0216
0.175;0.0321;0.0327;0.0318;0.0291;0.0255;0.0234;0.0219;0.0213;0.0204
0.18684210526315792;0.0288;0.0288;0.0276;0.0255;0.0231;0.021;0.021;0.0201;0.0195
0.1986842105263158;0.0234;0.0243;0.0225;0.021;0.0195;0.0198;0.0189;0.0186;0.0186
0.21052631578947373;0.018;0.0171;0.0153;0.0153;0.0156;0.0177;0.0177;0.0177;0.0177
0.2223684210526316;0.012;0.0105;0.009;0.0123;0.0132;0.0147;0.0159;0.0165;0.0165
0.23421052631578948;0.0081;0.0063;0.0057;0.0081;0.0108;0.0135;0.0147;0.015;0.0153
0.2460526315789474;0.0054;0.0039;0.0045;0.0063;0.0087;0.0111;0.0126;0.0141;0.0147
0.2578947368421053;0.0036;0.0024;0.0024;0.0048;0.0072;0.0093;0.0114;0.0129;0.0135
0.26973684210526316;0.0027;0.0021;0.0027;0.0036;0.0057;0.0072;0.0099;0.0117;0.0129
0.2815789473684211;0.0024;0.0018;0.0018;0.003;0.0039;0.0063;0.0084;0.0102;0.0114
0.29342105263157897;0.0018;0.0015;0.0012;0.0024;0.003;0.0051;0.0072;0.0087;0.0108
0.30526315789473685;0.0015;0.0015;0.0012;0.0021;0.0027;0.0045;0.0057;0.0078;0.0093
0.3171052631578948;0.0015;0.0012;0.0012;0.0015;0.0024;0.0033;0.0051;0.0066;0.0087
0.32894736842105265;0.0009;0.0009;0.0006;0.0012;0.0021;0.003;0.0039;0.0057;0.0075
0.34078947368421053;0.0009;0.0006;0.0009;0.0009;0.0015;0.0024;0.0036;0.0048;0.0063
0.35263157894736846;0.0006;0.0012;0.0009;0.0009;0.0012;0.0018;0.0027;0.0039;0.0054
0.36447368421052634;0.0009;0.0009;0.0009;0.0006;0.0009;0.0015;0.0024;0.0033;0.0051
0.3763157894736842;0.0009;0.0003;0.0006;0.0006;0.0012;0.0012;0.0018;0.003;0.0042
0.38815789473684215;0.0006;0.0006;0.0003;0.0006;0.0009;0.0012;0.0018;0.003;0.0039
0.4;0.0006;0.0003;0.0003;0.0009;0.0006;0.0009;0.0015;0.0021;0.003
