M1\M2;TC = 0.03 s;SEN = 3 V;3;4;5;6;7;8
0.0;-2.5;-2.0;-1.5;-1.0;-0.5;0.0;0.5;1.0
-0.05;0.0363;0.0348;0.0351;0.0351;0.0348;0.0345;0.0348;0.0345
-0.038157894736842106;0.0369;0.0345;0.0351;0.0351;0.0351;0.0348;0.0345;0.0348
-0.026315789473684213;0.0363;0.0348;0.0351;0.0351;0.0351;0.0348;0.0342;0.0342
-0.01447368421052632;0.0363;0.0345;0.0351;0.0348;0.0348;0.0348;0.0345;0.0342
-0.0026315789473684223;0.036;0.0348;0.0351;0.0351;0.0351;0.0345;0.0351;0.0342
0.009210526315789475;0.0363;0.0345;0.0354;0.0354;0.0348;0.0348;0.0345;0.0342
0.021052631578947364;0.036;0.0348;0.0354;0.0351;0.0348;0.0351;0.0342;0.0342
0.03289473684210527;0.0363;0.0348;0.0351;0.0354;0.0351;0.0351;0.0345;0.0342
0.04473684210526316;0.0357;0.0348;0.0354;0.0351;0.0348;0.0348;0.0345;0.0342
0.05657894736842105;0.0354;0.0348;0.0354;0.0351;0.0348;0.0348;0.0342;0.0345
0.06842105263157895;0.0354;0.0345;0.0351;0.0348;0.0354;0.0348;0.0345;0.0345
0.08026315789473686;0.0354;0.0351;0.0348;0.0351;0.0351;0.0348;0.0348;0.0345
0.09210526315789473;0.0351;0.0342;0.0351;0.0348;0.0348;0.0348;0.0345;0.0339
0.10394736842105264;0.0345;0.0342;0.0351;0.0348;0.0348;0.0348;0.0351;0.0342
0.11578947368421054;0.0336;0.0342;0.0345;0.0354;0.0348;0.0348;0.0345;0.0333
0.12763157894736843;0.0303;0.0333;0.0345;0.0348;0.0351;0.0345;0.0342;0.0336
0.1394736842105263;0.0321;0.0333;0.0342;0.0348;0.0351;0.0348;0.0339;0.033
0.15131578947368424;0.0318;0.033;0.0339;0.0345;0.0351;0.0348;0.0336;0.0327
0.1631578947368421;0.0312;0.0324;0.0336;0.0339;0.0345;0.0339;0.0333;0.0318
0.175;0.0297;0.0321;0.0336;0.0339;0.0342;0.0339;0.033;0.0309
0.18684210526315792;0.0291;0.0312;0.0324;0.0339;0.0342;0.0333;0.0315;0.0297
0.1986842105263158;0.0282;0.0297;0.0312;0.033;0.033;0.0324;0.0306;0.0285
0.21052631578947373;0.027;0.0282;0.03;0.0318;0.0324;0.0315;0.0291;0.0264
0.2223684210526316;0.0252;0.0264;0.0279;0.03;0.0303;0.0294;0.0273;0.0249
0.23421052631578948;0.0243;0.024;0.0246;0.0261;0.0267;0.0261;0.0246;0.0225
0.2460526315789474;0.0234;0.021;0.0207;0.021;0.0216;0.0213;0.0207;0.0201
0.2578947368421053;0.0201;0.0171;0.0159;0.015;0.0153;0.0156;0.0165;0.0171
0.26973684210526316;0.0153;0.0147;0.012;0.0099;0.0099;0.0105;0.0123;0.015
0.2815789473684211;0.0159;0.0117;0.0087;0.0063;0.0057;0.0063;0.0093;0.0123
0.29342105263157897;0.0144;0.0093;0.0063;0.0042;0.0033;0.0039;0.0069;0.0102
0.30526315789473685;0.0168;0.0075;0.0045;0.0027;0.0018;0.003;0.0051;0.0084
0.3171052631578948;0.015;0.006;0.0036;0.0021;0.0018;0.0027;0.0042;0.0063
0.32894736842105265;0.0003;0.0048;0.0027;0.0018;0.0015;0.0018;0.0033;0.0054
0.34078947368421053;0.0069;0.0036;0.0024;0.0015;0.0009;0.0015;0.0027;0.0039
0.35263157894736846;0.0057;0.0033;0.0018;0.0012;0.0015;0.0015;0.0024;0.003
0.36447368421052634;0.0042;0.0027;0.0015;0.0009;0.0012;0.0015;0.0018;0.0024
0.3763157894736842;0.0033;0.0021;0.0012;0.0009;0.0009;0.0012;0.0015;0.0021
0.38815789473684215;0.0027;0.0015;0.0012;0.0009;0.0009;0.0012;0.0009;0.0021
0.4;0.0027;0.0015;0.0009;0.0009;0.0006;0.0003;0.0012;0.0015
