M1\M2;TC = 0.03 s;SEN = 0.1 V;3;4;5;6
0.0;5.0;6.0;7.0;8.0;9.0;10.0
3.0;0.04626;0.04635;0.046310000000000004;0.04623;0.04615;0.04623
3.1;0.04623;0.04637;0.04632000000000001;0.046310000000000004;0.04619;0.04625
3.2;0.04633;0.0464;0.04637;0.046290000000000005;0.0462;0.04625
3.3;0.04632000000000001;0.04644;0.04639;0.04637;0.04621;0.046310000000000004
3.4;0.046470000000000004;0.0465;0.04648;0.04639;0.04626;0.046360000000000005
3.5;0.046520000000000006;0.04662;0.04653;0.04644;0.04628;0.04637
3.6;0.04496;0.046490000000000004;0.046720000000000005;0.046520000000000006;0.04633;0.0463
3.7;0.040220000000000006;0.044520000000000004;0.04633;0.04663;0.04635;0.04617
3.8;0.029140000000000003;0.03375;0.04168;0.04595;0.04603;0.04513
3.9;0.018320000000000003;0.01827;0.01768;0.019660000000000004;0.0272;0.029790000000000004
4.0;0.00854;0.0053300000000000005;0.00269;0.0012900000000000001;0.00144;0.004490000000000001
4.1;0.0020900000000000003;0.0009600000000000001;0.0005300000000000001;0.00042;0.00049;0.00088
4.2;0.0005300000000000001;0.00029000000000000006;0.00025;0.00021;0.00021;0.00031
4.3;0.00023000000000000003;0.00016;0.00011;0.00014000000000000001;0.00014000000000000001;0.00015
4.4;0.00013000000000000002;7.000000000000001e-05;0.00011;8e-05;7.000000000000001e-05;0.00011
4.5;5e-05;9e-05;7.000000000000001e-05;3.0000000000000004e-05;9e-05;7.000000000000001e-05
4.6;4e-05;3.0000000000000004e-05;4e-05;4e-05;4e-05;8e-05
4.7;1e-05;5e-05;4e-05;5e-05;7.000000000000001e-05;3.0000000000000004e-05
4.8;3.0000000000000004e-05;4e-05;1e-05;3.0000000000000004e-05;3.0000000000000004e-05;6.000000000000001e-05
4.9;1e-05;1e-05;3.0000000000000004e-05;4e-05;2e-05;3.0000000000000004e-05
5.0;5e-05;3.0000000000000004e-05;1e-05;3.0000000000000004e-05;1e-05;8e-05
