M1\M2;TC = 0.03 s;SEN = 3 V;3;4;5;6
0.0;-10.0;-9.0;-8.0;-7.0;-6.0;-5.0
0.0;0.0396;0.0396;0.0399;0.0396;0.0399;0.0396
0.1;0.0402;0.0399;0.0399;0.0402;0.0399;0.0399
0.2;0.0396;0.0399;0.0399;0.0396;0.0393;0.0402
0.30000000000000004;0.0399;0.0399;0.0402;0.0399;0.0399;0.0396
0.4;0.0399;0.0399;0.0399;0.0399;0.0396;0.0393
0.5;0.036;0.0393;0.0402;0.0399;0.0381;0.0345
0.6000000000000001;0.0231;0.0264;0.0324;0.0333;0.0273;0.0243
0.7000000000000001;0.0096;0.0048;0.0015;0.0021;0.0051;0.0096
0.8;0.0018;0.0009;0.0009;0.0006;0.0009;0.0018
0.9;0.0003;0.0003;0.0003;0.0;0.0003;0.0006
1.0;0.0;0.0012;0.0003;0.0;0.0003;0.0003
