"FTM Limite diffraction_x","FTM Limite diffraction_y","7.0_x","7.0_y"
0,1,0,1,
0.02704463995,0.9980678866,0.01953125,0.9999901762,
0.0540892799,0.996135778,0.0390625,0.9999607043,
0.08113391984,0.9942036789,0.05859375,0.9999115879,
0.1081785598,0.9922715942,0.078125,0.9998428334,
0.1352231997,0.9903395285,0.09765625,0.9997544493,
0.1622678397,0.9884074868,0.1171875,0.999646447,
0.1893124796,0.9864754737,0.13671875,0.99951884,
0.2163571196,0.984543494,0.15625,0.9993716447,
0.2434017595,0.9826115525,0.17578125,0.9992048795,
0.2704463995,0.980679654,0.1953125,0.9990185657,
0.2974910394,0.9787478033,0.21484375,0.9988127268,
0.3245356794,0.9768160051,0.234375,0.9985873889,
0.3515803193,0.9748842642,0.25390625,0.9983425804,
0.3786249593,0.9729525854,0.2734375,0.9980783323,
0.4056695992,0.9710209735,0.29296875,0.997794678,
0.4327142392,0.9690894333,0.3125,0.9974916533,
0.4597588791,0.9671579694,0.33203125,0.9971692965,
0.4868035191,0.9652265868,0.3515625,0.9968276482,
0.513848159,0.9632952902,0.37109375,0.9964667515,
0.540892799,0.9613640844,0.390625,0.9960866518,
0.5679374389,0.9594329741,0.41015625,0.9956873969,
0.5949820789,0.9575019641,0.4296875,0.9952690372,
0.6220267188,0.9555710593,0.44921875,0.9948316251,
0.6490713587,0.9536402644,0.46875,0.9943752155,
0.6761159987,0.9517095842,0.48828125,0.9938998657,
0.7031606386,0.9497790235,0.5078125,0.9934056354,
0.7302052786,0.947848587,0.52734375,0.9928925862,
0.7572499185,0.9459182796,0.546875,0.9923607825,
0.7842945585,0.9439881061,0.56640625,0.9918102905,
0.8113391984,0.9420580712,0.5859375,0.9912411791,
0.8383838384,0.9401281798,0.60546875,0.9906535191,
0.8654284783,0.9381984365,0.625,0.9900473837,
0.8924731183,0.9362688463,0.64453125,0.9894228482,
0.9195177582,0.9343394139,0.6640625,0.9887799902,
0.9465623982,0.9324101441,0.68359375,0.9881188894,
0.9736070381,0.9304810418,0.703125,0.9874396277,
1.000651678,0.9285521116,0.72265625,0.9867422889,
1.027696318,0.9266233585,0.7421875,0.9860269594,
1.054740958,0.9246947872,0.76171875,0.9852937271,
1.081785598,0.9227664025,0.78125,0.9845426823,
1.108830238,0.9208382092,0.80078125,0.9837739174,
1.135874878,0.9189102122,0.8203125,0.9829875267,
1.162919518,0.9169824162,0.83984375,0.9821836064,
1.189964158,0.9150548261,0.859375,0.9813622548,
1.217008798,0.9131274466,0.87890625,0.9805235722,
1.244053438,0.9112002826,0.8984375,0.9796676608,
1.271098078,0.9092733389,0.91796875,0.9787946245,
1.298142717,0.9073466204,0.9375,0.9779045693,
1.325187357,0.9054201317,0.95703125,0.9769976031,
1.352231997,0.9034938778,0.9765625,0.9760738354,
1.379276637,0.9015678635,0.99609375,0.9751333775,
1.406321277,0.8996420936,1.015625,0.9741763428,
1.433365917,0.8977165729,1.03515625,0.9732028461,
1.460410557,0.8957913063,1.0546875,0.972213004,
1.487455197,0.8938662985,1.07421875,0.9712069349,
1.514499837,0.8919415545,1.09375,0.9701847587,
1.541544477,0.890017079,1.11328125,0.9691465971,
1.568589117,0.888092877,1.1328125,0.9680925732,
1.595633757,0.8861689531,1.15234375,0.9670228118,
1.622678397,0.8842453124,1.171875,0.9659374393,
1.649723037,0.8823219596,1.19140625,0.9648365834,
1.676767677,0.8803988995,1.2109375,0.9637203734,
1.703812317,0.878476137,1.23046875,0.9625889401,
1.730856957,0.8765536771,1.25,0.9614424156,
1.757901597,0.8746315244,1.26953125,0.9602809335,
1.784946237,0.8727096839,1.2890625,0.9591046286,
1.811990877,0.8707881605,1.30859375,0.9579136372,
1.839035516,0.868866959,1.328125,0.9567080968,
1.866080156,0.8669460842,1.34765625,0.955488146,
1.893124796,0.8650255411,1.3671875,0.9542539249,
1.920169436,0.8631053344,1.38671875,0.9530055746,
1.947214076,0.8611854692,1.40625,0.9517432373,
1.974258716,0.8592659502,1.42578125,0.9504670565,
2.001303356,0.8573467823,1.4453125,0.9491771767,
2.028347996,0.8554279705,1.46484375,0.9478737433,
2.055392636,0.8535095195,1.484375,0.946556903,
2.082437276,0.8515914344,1.50390625,0.9452268033,
2.109481916,0.8496737199,1.5234375,0.9438835927,
2.136526556,0.8477563809,1.54296875,0.9425274204,
2.163571196,0.8458394225,1.5625,0.9411584368,
2.190615836,0.8439228494,1.58203125,0.9397767929,
2.217660476,0.8420066666,1.6015625,0.9383826406,
2.244705116,0.840090879,1.62109375,0.9369761326,
2.271749756,0.8381754914,1.640625,0.9355574221,
2.298794396,0.8362605089,1.66015625,0.9341266633,
2.325839036,0.8343459362,1.6796875,0.9326840109,
2.352883675,0.8324317784,1.69921875,0.9312296202,
2.379928315,0.8305180404,1.71875,0.929763647,
2.406972955,0.8286047271,1.73828125,0.9282862479,
2.434017595,0.8266918433,1.7578125,0.9267975798,
2.461062235,0.8247793942,1.77734375,0.9252978002,
2.488106875,0.8228673845,1.796875,0.9237870668,
2.515151515,0.8209558193,1.81640625,0.922265538,
2.542196155,0.8190447034,1.8359375,0.9207333723,
2.569240795,0.8171340419,1.85546875,0.9191907288,
2.596285435,0.8152238396,1.875,0.9176377666,
2.623330075,0.8133141016,1.89453125,0.9160746452,
2.650374715,0.8114048328,1.9140625,0.9145015243,
2.677419355,0.8094960382,1.93359375,0.9129185637,
2.704463995,0.8075877227,1.953125,0.9113259236,
2.731508635,0.8056798913,1.97265625,0.9097237639,
2.758553275,0.8037725489,1.9921875,0.9081122449,
2.785597915,0.8018657007,2.01171875,0.9064915267,
2.812642555,0.7999593515,2.03125,0.9048617696,
2.839687195,0.7980535064,2.05078125,0.9032231338,
2.866731834,0.7961481703,2.0703125,0.9015757792,
2.893776474,0.7942433482,2.08984375,0.8999198659,
2.920821114,0.7923390452,2.109375,0.8982555537,
2.947865754,0.7904352662,2.12890625,0.8965830023,
2.974910394,0.7885320163,2.1484375,0.8949023709,
3.001955034,0.7866293005,2.16796875,0.8932138188,
3.028999674,0.7847271238,2.1875,0.8915175049,
3.056044314,0.7828254912,2.20703125,0.8898135877,
3.083088954,0.7809244077,2.2265625,0.8881022254,
3.110133594,0.7790238785,2.24609375,0.8863835758,
3.137178234,0.7771239085,2.265625,0.8846577962,
3.164222874,0.7752245028,2.28515625,0.8829250436,
3.191267514,0.7733256664,2.3046875,0.8811854743,
3.218312154,0.7714274044,2.32421875,0.8794392442,
3.245356794,0.7695297218,2.34375,0.8776865087,
3.272401434,0.7676326238,2.36328125,0.8759274226,
3.299446074,0.7657361153,2.3828125,0.8741621398,
3.326490714,0.7638402015,2.40234375,0.8723908139,
3.353535354,0.7619448875,2.421875,0.8706135977,
3.380579993,0.7600501783,2.44140625,0.8688306431,
3.407624633,0.758156079,2.4609375,0.8670421016,
3.434669273,0.7562625947,2.48046875,0.8652481236,
3.461713913,0.7543697305,2.5,0.8634488589,
3.488758553,0.7524774916,2.51953125,0.8616444563,
3.515803193,0.750585883,2.5390625,0.8598350639,
3.542847833,0.7486949099,2.55859375,0.8580208288,
3.569892473,0.7468045774,2.578125,0.8562018972,
3.596937113,0.7449148906,2.59765625,0.8543784144,
3.623981753,0.7430258547,2.6171875,0.8525505246,
3.651026393,0.7411374747,2.63671875,0.8507183712,
