M1\M2;TC = 0.03 s;SEN Auto;3
0.0;-1.0;0.0;1.0
-0.2;0.385;0.3848;0.3842
-0.19;0.3849;0.385;0.3841
-0.18000000000000002;0.3848;0.3849;0.3843
-0.17;0.3848;0.3848;0.3843
-0.16;0.3849;0.3849;0.3842
-0.15000000000000002;0.3846;0.3851;0.3844
-0.14;0.3847;0.3849;0.3844
-0.13;0.3846;0.3848;0.3842
-0.12000000000000001;0.3847;0.3847;0.3841
-0.11000000000000001;0.3846;0.3848;0.3845
-0.1;0.3848;0.3849;0.3844
-0.09000000000000001;0.385;0.3848;0.3842
-0.08000000000000002;0.3848;0.3849;0.3844
-0.07;0.385;0.3848;0.3842
-0.06;0.3849;0.3848;0.3843
-0.05000000000000002;0.3849;0.3845;0.3843
-0.04000000000000001;0.3848;0.3845;0.3842
-0.03;0.3848;0.3846;0.3843
-0.020000000000000018;0.3847;0.3846;0.3842
-0.010000000000000009;0.3847;0.3846;0.3841
0.0;0.3848;0.3846;0.3843
0.009999999999999981;0.3848;0.3846;0.3843
0.01999999999999999;0.3847;0.3848;0.3842
0.03;0.3847;0.3846;0.3842
0.03999999999999998;0.3848;0.3846;0.3841
0.04999999999999999;0.3847;0.3846;0.3845
0.06;0.3846;0.3847;0.3843
0.07;0.385;0.3845;0.384
0.08000000000000002;0.3848;0.3847;0.3842
0.08999999999999997;0.3848;0.3848;0.3844
0.09999999999999998;0.3849;0.3846;0.3843
0.10999999999999999;0.3849;0.3847;0.3843
0.12;0.385;0.3845;0.3843
0.13;0.385;0.3846;0.3843
0.14;0.3849;0.3847;0.3843
0.15000000000000002;0.3848;0.3846;0.3843
0.15999999999999998;0.385;0.3848;0.3843
0.16999999999999998;0.385;0.3846;0.3844
0.18;0.3849;0.3847;0.3843
0.19;0.385;0.3846;0.3844
0.2;0.3849;0.3848;0.3844
