"FTM Limite diffraction_x","FTM Limite diffraction_y","4.2_x","4.2_y","4.4_x","4.4_y","4.6_x","4.6_y"
0,1,0,1,0,1,0,1,
0.02802215705,0.9980678866,0.08203125,0.9984652942,0.08203125,0.9984812924,0.08203125,0.997662035,
0.05604431411,0.996135778,0.1640625,0.9938419868,0.1640625,0.9939062159,0.1640625,0.9906524003,
0.08406647116,0.9942036789,0.24609375,0.9862555436,0.24609375,0.9864009564,0.24609375,0.9791662958,
0.1120886282,0.9922715942,0.328125,0.9759104702,0.328125,0.9761712634,0.328125,0.9635220246,
0.1401107853,0.9903395285,0.41015625,0.9630832916,0.41015625,0.9634954817,0.41015625,0.944150277,
0.1681329423,0.9884074868,0.4921875,0.9481130784,0.4921875,0.9487151213,0.4921875,0.921579666,
0.1961550994,0.9864754737,0.57421875,0.9313898615,0.57421875,0.9322232822,0.57421875,0.8964190331,
0.2241772564,0.984543494,0.65625,0.9133413536,0.65625,0.9144513193,0.65625,0.869337143,
0.2521994135,0.9826115525,0.73828125,0.8944184543,0.73828125,0.8958541972,0.73828125,0.8410404669,
0.2802215705,0.980679654,0.8203125,0.8750800595,0.8203125,0.8768950309,0.8203125,0.8122497991,
0.3082437276,0.9787478033,0.90234375,0.8557777205,0.90234375,0.8580293513,0.90234375,0.783676479,
0.3362658847,0.9768160051,0.984375,0.8369407118,0.984375,0.8396896625,0.984375,0.7559989947,
0.3642880417,0.9748842642,1.06640625,0.8189620574,1.06640625,0.8222708831,1.06640625,0.729840748,
0.3923101988,0.9729525854,1.1484375,0.8021860437,1.1484375,0.8061172663,1.1484375,0.7057497651,
0.4203323558,0.9710209735,1.23046875,0.7868977051,1.23046875,0.7915113747,1.23046875,0.6841811488,
0.4483545129,0.9690894333,1.3125,0.7733147001,1.3125,0.7786656326,1.3125,0.665483069,
0.4763766699,0.9671579694,1.39453125,0.7615819089,1.39453125,0.7677168716,1.39453125,0.6498870432,
0.504398827,0.9652265868,1.4765625,0.7517689584,1.4765625,0.7587241323,1.4765625,0.6375031198,
0.532420984,0.9632952902,1.55859375,0.7438707474,1.55859375,0.7516697909,1.55859375,0.6283203174,
0.5604431411,0.9613640844,1.640625,0.7378108851,1.640625,0.7464638615,1.640625,0.6222122879,
0.5884652981,0.9594329741,1.72265625,0.7334478142,1.72265625,0.7429511318,1.72265625,0.6189477535,
0.6164874552,0.9575019641,1.8046875,0.730583258,1.8046875,0.7409206321,1.8046875,0.6182048914,
0.6445096123,0.9555710593,1.88671875,0.7289725375,1.88671875,0.740116852,1.88671875,0.6195886245,
0.6725317693,0.9536402644,1.96875,0.7283362499,1.96875,0.7402520965,1.96875,0.6226497357,
0.7005539264,0.9517095842,2.05078125,0.7283727761,2.05078125,0.7410194003,2.05078125,0.6269048277,
0.7285760834,0.9497790235,2.1328125,0.7287710925,2.1328125,0.7421054778,2.1328125,0.6318563174,
0.7565982405,0.947848587,2.21484375,0.7292233883,2.21484375,0.7432032467,2.21484375,0.6370118144,
0.7846203975,0.9459182796,2.296875,0.729437024,2.296875,0.7440235251,2.296875,0.6419023393,
0.8126425546,0.9439881061,2.37890625,0.7291454099,2.37890625,0.7443055427,2.37890625,0.6460988989,
0.8406647116,0.9420580712,2.4609375,0.728117435,2.4609375,0.7438259523,2.4609375,0.6492269627,
0.8686868687,0.9401281798,2.54296875,0.7261651334,2.54296875,0.7424060652,2.54296875,0.6509784183,
0.8967090257,0.9381984365,2.625,0.7231493425,2.625,0.7399170807,2.625,0.6511206323,
0.9247311828,0.9362688463,2.70703125,0.7189831824,2.70703125,0.7362831383,2.70703125,0.6495023189,
0.9527533399,0.9343394139,2.7890625,0.7136332706,2.7890625,0.7314820912,2.7890625,0.6460560241,
0.9807754969,0.9324101441,2.87109375,0.7071186751,2.87109375,0.7255439837,2.87109375,0.640797158,
1.008797654,0.9304810418,2.953125,0.6995076994,2.953125,0.7185473042,2.953125,0.6338196406,
1.036819811,0.9285521116,3.03515625,0.6909126856,3.03515625,0.7106131867,3.03515625,0.6252883682,
1.064841968,0.9266233585,3.1171875,0.6814831034,3.1171875,0.7018978331,3.1171875,0.6154288435,
1.092864125,0.9246947872,3.19921875,0.671397274,3.19921875,0.6925835245,3.19921875,0.6045144413,
1.120886282,0.9227664025,3.28125,0.6608531337,3.28125,0.6828686783,3.28125,0.5928518978,
1.148908439,0.9208382092,3.36328125,0.6500584948,3.36328125,0.6729574783,3.36328125,0.5807657162,
1.176930596,0.9189102122,3.4453125,0.6392212784,3.4453125,0.6630496441,3.4453125,0.5685822591,
1.204952753,0.9169824162,3.52734375,0.6285401958,3.52734375,0.6533309162,3.52734375,0.5566143446,
1.23297491,0.9150548261,3.609375,0.6181963196,3.609375,0.6439647869,3.609375,0.5451471644,
1.260997067,0.9131274466,3.69140625,0.6083459282,3.69140625,0.6350859192,3.69140625,0.5344262775,
1.289019225,0.9112002826,3.7734375,0.5991149152,3.7734375,0.6267955573,3.7734375,0.5246482945,
1.317041382,0.9092733389,3.85546875,0.5905949488,3.85546875,0.619159061,3.85546875,0.5159546584,
1.345063539,0.9073466204,3.9375,0.5828414505,3.9375,0.6122055235,3.9375,0.5084286585,
1.373085696,0.9054201317,4.01953125,0.5758733466,4.01953125,0.6059292652,4.01953125,0.5020955452,
1.401107853,0.9034938778,4.1015625,0.569674459,4.1015625,0.6002928862,4.1015625,0.4969253733,
1.42913001,0.9015678635,4.18359375,0.5641963301,4.18359375,0.5952314999,4.18359375,0.4928380598,
1.457152167,0.8996420936,4.265625,0.5593622435,4.265625,0.5906577706,4.265625,0.4897100999,
1.485174324,0.8977165729,4.34765625,0.5550721902,4.34765625,0.5864674261,4.34765625,0.4873824409,
1.513196481,0.8957913063,4.4296875,0.5512085344,4.4296875,0.5825449869,4.4296875,0.4856691212,
1.541218638,0.8938662985,4.51171875,0.5476421426,4.51171875,0.5787695204,4.51171875,0.4843663875,
1.569240795,0.8919415545,4.59375,0.5442387457,4.59375,0.5750202829,4.59375,0.4832620769,
1.597262952,0.890017079,4.67578125,0.5408653075,4.67578125,0.5711821309,4.67578125,0.4821450584,
1.625285109,0.888092877,4.7578125,0.5373961642,4.7578125,0.5671505854,4.7578125,0.4808145015,
1.653307266,0.8861689531,4.83984375,0.5337186993,4.83984375,0.5628364048,4.83984375,0.479088676,
1.681329423,0.8842453124,4.921875,0.5297383186,4.921875,0.5581695028,4.921875,0.4768129386,
1.70935158,0.8823219596,5.00390625,0.5253825057,5.00390625,0.5531020251,5.00390625,0.4738665323,
1.737373737,0.8803988995,5.0859375,0.5206037656,5.0859375,0.5476104,5.0859375,0.4701678368,
1.765395894,0.878476137,5.16796875,0.5153813119,5.16796875,0.5416962007,5.16796875,0.4656777579,
1.793418051,0.8765536771,5.25,0.5097214088,5.25,0.5353857055,5.25,0.4604010298,
1.821440209,0.8746315244,5.33203125,0.5036563502,5.33203125,0.5287281118,5.33203125,0.4543853161,
1.849462366,0.8727096839,5.4140625,0.4972421304,5.4140625,0.5217924502,5.4140625,0.4477181204,
1.877484523,0.8707881605,5.49609375,0.4905549381,5.49609375,0.5146633425,5.49609375,0.4405216518,
1.90550668,0.868866959,5.578125,0.4836866722,5.578125,0.5074358478,5.578125,0.4329459226,
